2026-05-29 17:27:41,898 | INFO     | api_backfiller | [api_backfiller] SNAP.ETORO: 92 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:41,902 | DEBUG    | api_backfiller | [api_backfiller] SNAP.ETORO: 1398→1327 Zeilen (-71 Duplikate)
2026-05-29 17:27:41,903 | INFO     | api_backfiller | [api_backfiller] SNAP.ETORO: 1327 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:43,008 | DEBUG    | api_backfiller | [api_backfiller] SQM.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:43,084 | INFO     | api_backfiller | [api_backfiller] SQM.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:43,087 | DEBUG    | api_backfiller | [api_backfiller] SQM.ETORO: 347→323 Zeilen (-24 Duplikate)
2026-05-29 17:27:43,088 | INFO     | api_backfiller | [api_backfiller] SQM.ETORO: 323 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:44,192 | DEBUG    | api_backfiller | [api_backfiller] STX.US.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:44,273 | INFO     | api_backfiller | [api_backfiller] STX.US.ETORO: 92 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:44,276 | DEBUG    | api_backfiller | [api_backfiller] STX.US.ETORO: 1188→1117 Zeilen (-71 Duplikate)
2026-05-29 17:27:44,277 | INFO     | api_backfiller | [api_backfiller] STX.US.ETORO: 1117 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:45,383 | DEBUG    | api_backfiller | [api_backfiller] TEAM.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:45,465 | INFO     | api_backfiller | [api_backfiller] TEAM.ETORO: 92 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:45,470 | DEBUG    | api_backfiller | [api_backfiller] TEAM.ETORO: 1017→946 Zeilen (-71 Duplikate)
2026-05-29 17:27:45,471 | INFO     | api_backfiller | [api_backfiller] TEAM.ETORO: 946 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:46,575 | DEBUG    | api_backfiller | [api_backfiller] TSEM.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:46,647 | INFO     | api_backfiller | [api_backfiller] TSEM.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:46,652 | DEBUG    | api_backfiller | [api_backfiller] TSEM.ETORO: 773→749 Zeilen (-24 Duplikate)
2026-05-29 17:27:46,653 | INFO     | api_backfiller | [api_backfiller] TSEM.ETORO: 749 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:47,757 | DEBUG    | api_backfiller | [api_backfiller] TTD.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:47,859 | INFO     | api_backfiller | [api_backfiller] TTD.ETORO: 92 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:47,863 | DEBUG    | api_backfiller | [api_backfiller] TTD.ETORO: 1128→1057 Zeilen (-71 Duplikate)
2026-05-29 17:27:47,864 | INFO     | api_backfiller | [api_backfiller] TTD.ETORO: 1057 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:48,968 | DEBUG    | api_backfiller | [api_backfiller] TTMI.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:49,047 | INFO     | api_backfiller | [api_backfiller] TTMI.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:49,049 | DEBUG    | api_backfiller | [api_backfiller] TTMI.ETORO: 393→369 Zeilen (-24 Duplikate)
2026-05-29 17:27:49,050 | INFO     | api_backfiller | [api_backfiller] TTMI.ETORO: 369 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:50,156 | DEBUG    | api_backfiller | [api_backfiller] VLO.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:50,229 | INFO     | api_backfiller | [api_backfiller] VLO.ETORO: 86 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:50,232 | DEBUG    | api_backfiller | [api_backfiller] VLO.ETORO: 469→402 Zeilen (-67 Duplikate)
2026-05-29 17:27:50,233 | INFO     | api_backfiller | [api_backfiller] VLO.ETORO: 402 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:51,339 | DEBUG    | api_backfiller | [api_backfiller] VRT.ETORO: Precision-Fallback price_prec=2, size_prec=2
